0,264,120
1,263,117
2,262,118
3,261,118
4,266,117
5,267,117
6,268,116
7,261,119
8,270,118
9,264,122
10,266,122
11,258,134
12,282,133
13,259,161
14,283,155
15,256,163
16,274,156
17,254,165
18,273,157
19,256,162
20,271,154
21,257,161
22,271,154
23,272,177
24,287,175
25,261,206
26,284,200
27,263,241
28,295,229
29,265,249
30,298,234
31,252,244
32,287,233
0,264,124
1,262,122
2,262,122
3,261,123
4,265,122
5,266,122
6,267,121
7,261,124
8,269,122
9,263,127
10,266,126
11,257,138
12,282,135
13,256,162
14,283,158
15,257,164
16,278,169
17,258,166
18,277,173
19,259,164
20,276,171
21,259,164
22,276,170
23,271,180
24,285,178
25,258,207
26,284,202
27,262,242
28,295,229
29,264,249
30,298,235
31,251,244
32,287,234
0,263,127
1,262,125
2,261,125
3,260,125
4,264,124
5,265,124
6,266,124
7,261,126
8,269,124
9,263,129
10,265,129
11,257,141
12,281,138
13,255,164
14,282,160
15,253,163
16,276,170
17,252,163
18,275,173
19,254,161
20,274,172
21,254,161
22,275,170
23,270,182
24,284,180
25,256,208
26,282,203
27,261,242
28,295,229
29,263,249
30,298,235
31,250,244
32,287,234
0,263,128
1,262,126
2,261,126
3,260,126
4,264,125
5,265,125
6,266,125
7,260,128
8,269,126
9,263,130
10,265,130
11,257,143
12,281,140
13,252,163
14,281,162
15,249,157
16,276,175
17,246,155
18,274,179
19,249,153
20,274,178
21,250,153
22,274,177
23,269,184
24,283,182
25,255,209
26,281,205
27,259,241
28,294,230
29,262,248
30,297,235
31,250,244
32,287,235
0,263,129
1,262,127
2,261,127
3,260,127
4,264,126
5,265,126
6,266,126
7,260,128
8,269,127
9,263,131
10,265,131
11,257,143
12,280,141
13,252,159
14,278,161
15,251,153
16,266,170
17,248,152
18,264,173
19,249,150
20,263,172
21,251,150
22,264,171
23,267,184
24,282,182
25,255,209
26,279,206
27,259,241
28,293,230
29,262,248
30,296,235
31,249,244
32,286,236
0,263,129
1,261,127
2,261,127
3,260,127
4,264,127
5,265,127
6,266,126
7,260,129
8,269,127
9,262,132
10,265,131
11,257,142
12,280,142
13,252,158
14,277,161
15,251,153
16,264,168
17,251,151
18,261,171
19,253,149
20,260,169
21,255,150
22,261,168
23,267,184
24,281,182
25,255,210
26,278,207
27,259,241
28,293,231
29,261,248
30,296,236
31,249,244
32,285,236
0,263,128
1,261,126
2,261,126
3,260,127
4,264,126
5,265,126
6,265,126
7,260,128
8,268,127
9,262,131
10,265,130
11,257,141
12,279,141
13,252,146
